country;date;temperature_avg;temperature_min;temperature_max;precipitation;snow_depth
Sweden;2019-09-21;11.0;5.381220657;15.02616822;0.816140351;0.247678019
Finland;2016-01-15;-14.84285714;-20.59415584;-9.474675325;0.945728643;277.4375
Sweden;2015-07-10;12.5;9.314107884;15.96983471;1.170967742;0.0
Norway;2015-05-16;5.147058824;2.060185185;9.462385321;4.902536232;46.50717703
Norway;2016-11-02;0.452631579;-1.180869565;3.829661017;0.133088235;17.48165138
Finland;2019-08-24;12.75714286;9.980794702;16.87207792;0.342372881;0.0
Sweden;2015-06-06;12.16;5.948101266;15.6302521;5.29024;0.0
Sweden;2019-03-05;-5.833333333;-11.59815668;-2.193577982;1.5;207.2829132
Finland;2018-06-04;9.832142857;7.613513514;14.08223684;2.596174863;0.0
Sweden;2015-06-01;9.8;6.136585366;12.67317073;3.142811502;0.0
Norway;2018-08-24;11.02631579;9.008;15.16176471;6.005668016;0.0
Norway;2016-10-19;5.8;3.73245614;8.63826087;0.345787546;0.276497696
Norway;2015-09-17;11.03333333;9.007272727;14.54;10.77028986;0.089686099
Finland;2015-06-16;8.617857143;5.805194805;11.14350649;2.376649746;0.0
Finland;2016-12-23;-0.85;-2.885333333;1.54379085;0.414659686;231.6153846
Norway;2018-01-06;-5.705263158;-9.078703704;-2.323148148;2.117358491;320.3209302
Norway;2017-12-06;-1.894444444;-3.236363636;1.17962963;13.39253731;191.1756757
Sweden;2019-07-28;21.97777778;15.65233645;27.86976744;0.47195122;0.0
Sweden;2019-06-22;13.92222222;9.197607656;17.70571429;2.543402778;0.0
Sweden;2017-04-21;5.133333333;1.073991031;8.389732143;1.425657895;99.18421053
Norway;2017-03-06;-3.668421053;-5.409322034;0.316666667;0.112546125;254.6902655
Sweden;2016-10-10;6.12;3.262995595;6.818584071;0.26618123;0.0
Norway;2017-11-02;2.75;1.003703704;7.584545455;1.40260223;16.91964286
Norway;2016-08-22;12.33157895;10.10956522;17.6112069;2.324;0.0
Norway;2017-06-11;11.97222222;9.27079646;15.98173913;4.833818182;2.368181818
Norway;2015-06-03;8.027777778;5.413888889;12.09636364;4.882374101;12.87264151
Norway;2019-09-08;8.588888889;4.157425743;13.78529412;0.281512605;0.0
Sweden;2015-08-19;16.28;7.752479339;22.9785124;8.0E-4;0.0
Finland;2019-04-13;2.451851852;-1.167320261;5.675163399;0.002259887;495.8
Norway;2019-10-20;1.510526316;0.017647059;5.420952381;1.710833333;4.027173913
Finland;2015-12-08;-0.939285714;-3.562337662;1.479084967;1.849246231;228.6666667
Finland;2018-06-08;8.485714286;3.473684211;12.36601307;0.089444444;0.0
Sweden;2015-11-05;5.19;0.095256917;5.774603175;1.305288462;0.0
Sweden;2019-06-15;17.24444444;9.978504673;23.29395349;0.947048611;0.0
Finland;2018-11-02;3.307142857;-0.662585034;5.696575342;3.633146067;40.5
Sweden;2018-01-28;-0.222222222;-7.111415525;-1.056621005;2.257504216;333.8873239
Norway;2016-11-09;-4.142105263;-6.806779661;-1.988034188;0.327573529;82.48888889
Sweden;2015-02-03;-6.92;-10.47619048;-7.681422925;1.296845426;406.1398964
Sweden;2015-08-31;14.04;7.782186235;17.91451613;5.523642173;0.0
Finland;2018-12-10;-0.839285714;-1.967333333;0.745695364;1.045505618;157.3571429
Norway;2016-01-13;-8.542105263;-10.22212389;-5.004424779;1.394202899;192.6981982
Finland;2018-08-21;12.25714286;8.114864865;16.10526316;0.487150838;0.0
Norway;2017-09-24;11.24736842;8.733928571;14.75178571;0.449635036;0.0
Finland;2019-03-28;2.289285714;-4.520394737;6.252980132;0.201129944;486.45
Sweden;2018-05-02;6.277777778;3.082648402;9.491363636;0.442398649;68.83333333
Finland;2017-09-09;10.12142857;7.424025974;12.45974026;7.159893048;0.0
Finland;2019-05-04;0.182142857;-3.372368421;3.716993464;1.714204545;134.3636364
Norway;2019-01-11;-0.421052632;-2.291;4.931;2.50464135;134.4329897
Norway;2018-09-22;8.426315789;6.630392157;12.04215686;11.55650407;0.483870968
Finland;2017-11-23;-5.767857143;-9.93961039;-3.651655629;7.509677419;147.9166667
Finland;2015-09-26;9.55;7.474666667;13.36405229;1.274874372;0.0
Finland;2019-06-05;16.66428571;9.294117647;21.62763158;0.063068182;0.0
Finland;2015-04-19;4.207142857;0.094805195;7.349032258;0.479695431;481.3333333
Sweden;2015-10-05;7.03;0.881818182;9.848809524;0.004983923;0.0
Sweden;2019-02-03;-7.933333333;-11.86018519;-6.592626728;2.251896552;361.3960114
Norway;2016-09-05;9.573684211;5.200862069;15.29304348;0.263837638;0.0
Sweden;2017-09-17;9.622222222;4.923529412;13.11486486;0.9905;0.0
Sweden;2015-07-20;14.61;9.619747899;17.79333333;1.534733441;0.0
Norway;2015-05-03;2.8125;-0.607407407;8.15;1.149637681;117.5
Finland;2016-04-15;0.121428571;-5.776315789;4.7375;0.01319797;593.0
Norway;2016-10-16;4.226315789;2.731623932;7.580172414;1.420512821;0.506912442
Sweden;2018-09-16;10.54285714;4.49212963;13.90093023;3.128034188;0.0
Finland;2015-08-08;17.22142857;12.91655629;21.38562092;3.471356784;0.0
Sweden;2016-11-11;-3.66;-8.590666667;-2.643303571;0.259253247;98.7403599
Sweden;2017-06-24;13.26666667;9.912328767;16.6199095;4.332838284;0.0
Finland;2017-02-02;-4.275;-9.282352941;-2.930263158;2.122105263;386.9444444
Finland;2018-04-10;-0.75;-4.554966887;4.156578947;0.031521739;522.65
Norway;2018-01-19;-4.768421053;-6.778703704;-2.60733945;2.695833333;415.8715596
Sweden;2018-01-20;-5.322222222;-10.11954545;-4.909049774;1.069645868;378.0911681
Sweden;2018-09-18;15.68888889;6.925925926;17.9587963;0.497264957;0.0
Norway;2019-01-22;-7.410526316;-9.751456311;-3.635576923;0.78;338.9417989
Finland;2018-03-11;-2.321428571;-4.391216216;-0.447682119;1.064673913;496.5238095
Finland;2017-10-20;-0.071428571;-2.017218543;3.696078431;0.284864865;24.2
Sweden;2016-09-04;12.71;7.936725664;16.45132743;0.725686591;0.0
Sweden;2019-12-19;-1.355555556;-7.417431193;-0.568202765;1.10385289;119.0598291
Norway;2016-02-22;-1.705263158;-4.056140351;1.668421053;2.52919708;347.8362832
Sweden;2019-09-11;14.22222222;11.39672897;17.26651163;3.69754386;0.0
Sweden;2015-03-18;3.57;-2.9852;7.948207171;0.051746032;142.8720627
Sweden;2015-01-20;-3.49;-10.1484375;-5.827058824;2.403599374;196.056701
Norway;2016-10-31;3.784210526;2.740869565;6.350862069;10.43308824;2.072072072
Norway;2017-01-04;-7.336842105;-9.648275862;-1.936206897;0.465201465;190.6726457
Norway;2016-03-12;0.647368421;-3.37699115;4.093859649;1.425;412.0593607
Sweden;2018-04-27;5.533333333;0.96359447;10.34862385;1.193412162;123.6338798
Norway;2017-10-20;4.738888889;2.143518519;7.626851852;3.251672862;1.184210526
Sweden;2016-02-07;3.57;-2.961333333;3.322666667;1.816425121;179.1152815
Sweden;2016-11-03;-0.91;-3.630973451;0.557333333;0.919286872;22.42424242
Norway;2018-05-19;9.610526316;4.27706422;15.66388889;0.327651515;5.549763033
Finland;2016-09-07;13.47857143;9.872368421;16.62828947;1.441538462;0.0
Norway;2015-03-09;1.938888889;-0.585585586;5.15;5.16884058;319.1026786
Sweden;2019-04-28;9.333333333;3.539719626;14.6627907;0.602749141;7.863013699
Finland;2016-03-14;-0.164285714;-4.056862745;3.024183007;0.05959596;430.0
Finland;2018-09-17;10.0;5.079452055;12.37671233;4.433888889;0.0
Norway;2019-02-23;2.9;1.449038462;7.039805825;2.21779661;266.0691489
Norway;2018-11-10;6.057894737;3.625490196;8.298058252;11.69045643;5.192513369
Norway;2018-03-02;-8.126315789;-12.63486239;-3.271296296;0.28;550.8636364
Finland;2018-07-17;24.40714286;15.34039735;30.56143791;0.0;0.0
Sweden;2019-09-10;15.13333333;10.77627907;17.63504673;2.764736842;0.0
Finland;2015-05-20;8.853571429;4.812337662;12.89419355;1.352791878;130.25
Norway;2018-08-23;11.48333333;8.505825243;15.46504854;3.174596774;0.0
Finland;2018-04-03;-2.464285714;-4.841447368;0.505263158;1.350273224;571.5714286
Norway;2017-06-16;11.25789474;10.18859649;16.0965812;3.16101083;1.396396396
Norway;2015-12-09;1.889473684;0.417117117;6.441964286;10.74637681;77.97169811
Finland;2017-07-26;16.35357143;11.04662162;21.10337838;0.107567568;0.0
Norway;2017-02-20;-1.663157895;-2.097435897;2.813793103;8.589010989;162.3938053
Finland;2018-05-09;11.27857143;2.286928105;16.46907895;0.0;158.4285714
Norway;2018-07-31;19.51666667;15.902;25.87843137;11.01752988;0.0
Sweden;2019-07-06;12.57777778;7.659345794;16.33333333;5.839547038;0.0
